center	assay	assay-info	cell-lines	cell-lines-meta	perturbagens	perturbagens-meta	dose	perturbagens-meta (cont)	signatures-meta	map	readouts	readout-count	data release date	data release date	data release date	data release date	release-link	phase	Unique ID (Qiaonan)	DCIC Assay Name
DTOXS	RNASeq	Cardiotoxicity Signatures	"Promocell myocytes line 1,cell line,normal,heart;Promocell myocytes line 2,cell line,normal,heart;Promocell myocytes line 3,cell line,normal,heart"	3\cell lines	"Afatinib,FDA approved drug;Axitinib,FDA approved drug;Bosutinib,FDA approved drug;Cabozantinib,FDA approved drug;Ceritinib,FDA approved drug;Crizotinib,FDA approved drug;Dabrafenib,FDA approved drug;Dasatinib,FDA approved drug;Erlotinib,FDA approved drug;Gefitinib,FDA approved drug;Imatinib,FDA approved drug;Lapatinib,FDA approved drug;Nilotinib,FDA approved drug;Pazopanib,FDA approved drug;ponatinib,FDA approved drug;Regorafenib,FDA approved drug;Ruxolitinib,FDA approved drug;Sorafenib,FDA approved drug;Sunitinib,FDA approved drug;Tofacitinib,FDA approved drug;Trametinib,FDA approved drug;Vandetanib,FDA approved drug;Vemurafenib,FDA approved drug;Trastuzumab,FDA approved drug;Trastuzumab + Ursodeoxycholic acid,FDA approved drug;Trastuzumab + Loperamide,FDA approved drug;Trastuzumab + Domperidone,FDA approved drug;Sunitinib + Ursodeoxycholic acid,FDA approved drug;Sunitinib + Domperidone,FDA approved drug;Sunitinib + Loparemide,FDA approved drug;Sunitinib + Prednisolone,FDA approved drug;Sorafenib + Ursodeoxycholic acid,FDA approved drug;Sorafenib + Entecavir,FDA approved drug;Sorafenib + Diethylpropion,FDA approved drug;Sorafenib + Olmesartan,FDA approved drug;Sorefenib + Diclofenac,FDA approved drug;Dasatinib + Cytarabine,FDA approved drug;Erlotinib + Cefuroxime,FDA approved drug;Imatinib + Cyclosporine,FDA approved drug;Ursodeoxycholic acid,FDA approved drug;Loperamide,FDA approved drug;Domperidone,FDA approved drug;Prednisolone,FDA approved drug;Entecavir,FDA approved drug;Diethylpropion,FDA approved drug;Olmesartan,FDA approved drug;Diclofenac,FDA approved drug;Cytarabine,FDA approved drug;Cefuroxime,FDA approved drug;Cyclosporine,FDA approved drug"	"false\FDA approved drugs,30"	;1	48;hrs;1	3	one-all	DEGs\gene list		4/30/15	4/30/15	4/30/15	4/30/15	http://research.mssm.edu/pst/DToxS/data_results.html	LP2	lincs.milestones.d:9f82da86-ba74-47fe-86eb-2d05c0c402f3	RNA-Seq Gene expression profiling assay
DTOXS	Proteomics	Cardiotoxicity Signatures	"Promocell myocytes line 1,cell line,normal,heart;Promocell myocytes line 2,cell line,normal,heart;Promocell myocytes line 3,cell line,normal,heart"	3\cell lines	"Afatinib,FDA approved drug;Axitinib,FDA approved drug;Bosutinib,FDA approved drug;Cabozantinib,FDA approved drug;Ceritinib,FDA approved drug;Crizotinib,FDA approved drug;Dabrafenib,FDA approved drug;Dasatinib,FDA approved drug;Erlotinib,FDA approved drug;Gefitinib,FDA approved drug;Imatinib,FDA approved drug;Lapatinib,FDA approved drug;Nilotinib,FDA approved drug;Pazopanib,FDA approved drug;ponatinib,FDA approved drug;Regorafenib,FDA approved drug;Ruxolitinib,FDA approved drug;Sorafenib,FDA approved drug;Sunitinib,FDA approved drug;Tofacitinib,FDA approved drug;Trametinib,FDA approved drug;Vandetanib,FDA approved drug;Vemurafenib,FDA approved drug;Trastuzumab,FDA approved drug;Trastuzumab + Ursodeoxycholic acid,FDA approved drug;Trastuzumab + Loperamide,FDA approved drug;Trastuzumab + Domperidone,FDA approved drug;Sunitinib + Ursodeoxycholic acid,FDA approved drug;Sunitinib + Domperidone,FDA approved drug;Sunitinib + Loparemide,FDA approved drug;Sunitinib + Prednisolone,FDA approved drug;Sorafenib + Ursodeoxycholic acid,FDA approved drug;Sorafenib + Entecavir,FDA approved drug;Sorafenib + Diethylpropion,FDA approved drug;Sorafenib + Olmesartan,FDA approved drug;Sorefenib + Diclofenac,FDA approved drug;Dasatinib + Cytarabine,FDA approved drug;Erlotinib + Cefuroxime,FDA approved drug;Imatinib + Cyclosporine,FDA approved drug;Ursodeoxycholic acid,FDA approved drug;Loperamide,FDA approved drug;Domperidone,FDA approved drug;Prednisolone,FDA approved drug;Entecavir,FDA approved drug;Diethylpropion,FDA approved drug;Olmesartan,FDA approved drug;Diclofenac,FDA approved drug;Cytarabine,FDA approved drug;Cefuroxime,FDA approved drug;Cyclosporine,FDA approved drug"	"false\FDA approved drugs,10"	;1	48;hrs;1	3	one-all	DEPs\protein list		4/30/15	4/30/15	4/30/15	4/30/15		LP2	lincs.milestones.d:df50d8bb-015e-490b-9eb9-66c5bd502c9d	MS Protein Quantification Assay
DTOXS	Western blots/PCR (validation assays)	Cardiotoxicity Signatures	"Promocell myocytes line 1,cell line,normal,heart;Promocell myocytes line 2,cell line,normal,heart;Promocell myocytes line 3,cell line,normal,heart"	3\cell lines	"Afatinib,FDA approved drug;Axitinib,FDA approved drug;Bosutinib,FDA approved drug;Cabozantinib,FDA approved drug;Ceritinib,FDA approved drug;Crizotinib,FDA approved drug;Dabrafenib,FDA approved drug;Dasatinib,FDA approved drug;Erlotinib,FDA approved drug;Gefitinib,FDA approved drug;Imatinib,FDA approved drug;Lapatinib,FDA approved drug;Nilotinib,FDA approved drug;Pazopanib,FDA approved drug;ponatinib,FDA approved drug;Regorafenib,FDA approved drug;Ruxolitinib,FDA approved drug;Sorafenib,FDA approved drug;Sunitinib,FDA approved drug;Tofacitinib,FDA approved drug;Trametinib,FDA approved drug;Vandetanib,FDA approved drug;Vemurafenib,FDA approved drug;Trastuzumab,FDA approved drug;Trastuzumab + Ursodeoxycholic acid,FDA approved drug;Trastuzumab + Loperamide,FDA approved drug;Trastuzumab + Domperidone,FDA approved drug;Sunitinib + Ursodeoxycholic acid,FDA approved drug;Sunitinib + Domperidone,FDA approved drug;Sunitinib + Loparemide,FDA approved drug;Sunitinib + Prednisolone,FDA approved drug;Sorafenib + Ursodeoxycholic acid,FDA approved drug;Sorafenib + Entecavir,FDA approved drug;Sorafenib + Diethylpropion,FDA approved drug;Sorafenib + Olmesartan,FDA approved drug;Sorefenib + Diclofenac,FDA approved drug;Dasatinib + Cytarabine,FDA approved drug;Erlotinib + Cefuroxime,FDA approved drug;Imatinib + Cyclosporine,FDA approved drug;Ursodeoxycholic acid,FDA approved drug;Loperamide,FDA approved drug;Domperidone,FDA approved drug;Prednisolone,FDA approved drug;Entecavir,FDA approved drug;Diethylpropion,FDA approved drug;Olmesartan,FDA approved drug;Diclofenac,FDA approved drug;Cytarabine,FDA approved drug;Cefuroxime,FDA approved drug;Cyclosporine,FDA approved drug"	"false\FDA approved drugs,15"	;1	48;hrs;1	3	one-all	image\image		4/30/15	4/30/15	4/30/15	4/30/15		LP2	lincs.milestones.d:9d3ee4c9-75ea-4e74-a58f-6506b143fd42	Western Blot / PCR Assay
DTOXS	RNASeq	Cardiotoxicity Signatures	"Promocell myocytes line 4,cell line,normal,heart;Myocytes derived from NeuroLINCS iPSCs line 1,iPSC differentiated,normal,heart;Myocytes derived from NeuroLINCS iPSCs line 2,iPSC differentiated,normal,heart"	1\cell lines;2\iPSCs differentiated	"Afatinib,FDA approved drug;Axitinib,FDA approved drug;Bosutinib,FDA approved drug;Cabozantinib,FDA approved drug;Ceritinib,FDA approved drug;Crizotinib,FDA approved drug;Dabrafenib,FDA approved drug;Dasatinib,FDA approved drug;Erlotinib,FDA approved drug;Gefitinib,FDA approved drug;Imatinib,FDA approved drug;Lapatinib,FDA approved drug;Nilotinib,FDA approved drug;Pazopanib,FDA approved drug;ponatinib,FDA approved drug;Regorafenib,FDA approved drug;Ruxolitinib,FDA approved drug;Sorafenib,FDA approved drug;Sunitinib,FDA approved drug;Tofacitinib,FDA approved drug;Trametinib,FDA approved drug;Vandetanib,FDA approved drug;Vemurafenib,FDA approved drug;Trastuzumab,FDA approved drug;Trastuzumab + Ursodeoxycholic acid,FDA approved drug;Trastuzumab + Loperamide,FDA approved drug;Trastuzumab + Domperidone,FDA approved drug;Sunitinib + Ursodeoxycholic acid,FDA approved drug;Sunitinib + Domperidone,FDA approved drug;Sunitinib + Loparemide,FDA approved drug;Sunitinib + Prednisolone,FDA approved drug;Sorafenib + Ursodeoxycholic acid,FDA approved drug;Sorafenib + Entecavir,FDA approved drug;Sorafenib + Diethylpropion,FDA approved drug;Sorafenib + Olmesartan,FDA approved drug;Sorefenib + Diclofenac,FDA approved drug;Dasatinib + Cytarabine,FDA approved drug;Erlotinib + Cefuroxime,FDA approved drug;Imatinib + Cyclosporine,FDA approved drug;Ursodeoxycholic acid,FDA approved drug;Loperamide,FDA approved drug;Domperidone,FDA approved drug;Prednisolone,FDA approved drug;Entecavir,FDA approved drug;Diethylpropion,FDA approved drug;Olmesartan,FDA approved drug;Diclofenac,FDA approved drug;Cytarabine,FDA approved drug;Cefuroxime,FDA approved drug;Cyclosporine,FDA approved drug"	"false\FDA approved drugs,30"	;1	48;hrs;1	3	one-all	DEGs\gene list		7/31/15	7/31/15	7/31/15	7/31/15		LP2	lincs.milestones.d:0a5b41c3-0b77-4964-acf2-98950682287a	RNA-Seq Gene expression profiling assay
DTOXS	Proteomics	Cardiotoxicity Signatures	"Promocell myocytes line 4,cell line,normal,heart;Myocytes derived from NeuroLINCS iPSCs line 1,iPSC differentiated,normal,heart;Myocytes derived from NeuroLINCS iPSCs line 2,iPSC differentiated,normal,heart"	1\cell lines;2\iPSCs differentiated	"Afatinib,FDA approved drug;Axitinib,FDA approved drug;Bosutinib,FDA approved drug;Cabozantinib,FDA approved drug;Ceritinib,FDA approved drug;Crizotinib,FDA approved drug;Dabrafenib,FDA approved drug;Dasatinib,FDA approved drug;Erlotinib,FDA approved drug;Gefitinib,FDA approved drug;Imatinib,FDA approved drug;Lapatinib,FDA approved drug;Nilotinib,FDA approved drug;Pazopanib,FDA approved drug;ponatinib,FDA approved drug;Regorafenib,FDA approved drug;Ruxolitinib,FDA approved drug;Sorafenib,FDA approved drug;Sunitinib,FDA approved drug;Tofacitinib,FDA approved drug;Trametinib,FDA approved drug;Vandetanib,FDA approved drug;Vemurafenib,FDA approved drug;Trastuzumab,FDA approved drug;Trastuzumab + Ursodeoxycholic acid,FDA approved drug;Trastuzumab + Loperamide,FDA approved drug;Trastuzumab + Domperidone,FDA approved drug;Sunitinib + Ursodeoxycholic acid,FDA approved drug;Sunitinib + Domperidone,FDA approved drug;Sunitinib + Loparemide,FDA approved drug;Sunitinib + Prednisolone,FDA approved drug;Sorafenib + Ursodeoxycholic acid,FDA approved drug;Sorafenib + Entecavir,FDA approved drug;Sorafenib + Diethylpropion,FDA approved drug;Sorafenib + Olmesartan,FDA approved drug;Sorefenib + Diclofenac,FDA approved drug;Dasatinib + Cytarabine,FDA approved drug;Erlotinib + Cefuroxime,FDA approved drug;Imatinib + Cyclosporine,FDA approved drug;Ursodeoxycholic acid,FDA approved drug;Loperamide,FDA approved drug;Domperidone,FDA approved drug;Prednisolone,FDA approved drug;Entecavir,FDA approved drug;Diethylpropion,FDA approved drug;Olmesartan,FDA approved drug;Diclofenac,FDA approved drug;Cytarabine,FDA approved drug;Cefuroxime,FDA approved drug;Cyclosporine,FDA approved drug"	"false\FDA approved drugs,10"	;1	48;hrs;1	3	one-all	DEPs\protein list		7/31/15	7/31/15	7/31/15	7/31/15		LP2	lincs.milestones.d:1bf426c2-5bf7-4756-ad77-aeaaa540e426	MS Protein Quantification Assay
DTOXS	Western blots/PCR (validation assays)	Cardiotoxicity Signatures	"Promocell myocytes line 4,cell line,normal,heart;Myocytes derived from NeuroLINCS iPSCs line 1,iPSC differentiated,normal,heart;Myocytes derived from NeuroLINCS iPSCs line 2,iPSC differentiated,normal,heart"	1\cell lines;2\iPSCs differentiated	"Afatinib,FDA approved drug;Axitinib,FDA approved drug;Bosutinib,FDA approved drug;Cabozantinib,FDA approved drug;Ceritinib,FDA approved drug;Crizotinib,FDA approved drug;Dabrafenib,FDA approved drug;Dasatinib,FDA approved drug;Erlotinib,FDA approved drug;Gefitinib,FDA approved drug;Imatinib,FDA approved drug;Lapatinib,FDA approved drug;Nilotinib,FDA approved drug;Pazopanib,FDA approved drug;ponatinib,FDA approved drug;Regorafenib,FDA approved drug;Ruxolitinib,FDA approved drug;Sorafenib,FDA approved drug;Sunitinib,FDA approved drug;Tofacitinib,FDA approved drug;Trametinib,FDA approved drug;Vandetanib,FDA approved drug;Vemurafenib,FDA approved drug;Trastuzumab,FDA approved drug;Trastuzumab + Ursodeoxycholic acid,FDA approved drug;Trastuzumab + Loperamide,FDA approved drug;Trastuzumab + Domperidone,FDA approved drug;Sunitinib + Ursodeoxycholic acid,FDA approved drug;Sunitinib + Domperidone,FDA approved drug;Sunitinib + Loparemide,FDA approved drug;Sunitinib + Prednisolone,FDA approved drug;Sorafenib + Ursodeoxycholic acid,FDA approved drug;Sorafenib + Entecavir,FDA approved drug;Sorafenib + Diethylpropion,FDA approved drug;Sorafenib + Olmesartan,FDA approved drug;Sorefenib + Diclofenac,FDA approved drug;Dasatinib + Cytarabine,FDA approved drug;Erlotinib + Cefuroxime,FDA approved drug;Imatinib + Cyclosporine,FDA approved drug;Ursodeoxycholic acid,FDA approved drug;Loperamide,FDA approved drug;Domperidone,FDA approved drug;Prednisolone,FDA approved drug;Entecavir,FDA approved drug;Diethylpropion,FDA approved drug;Olmesartan,FDA approved drug;Diclofenac,FDA approved drug;Cytarabine,FDA approved drug;Cefuroxime,FDA approved drug;Cyclosporine,FDA approved drug"	"false\FDA approved drugs,15"	;1	48;hrs;1	3	one-all	image\image		7/31/15	7/31/15	7/31/15	7/31/15		LP2	lincs.milestones.d:c9af1dbb-1ec7-4dff-a0cb-38503b6001ee	Western Blot / PCR Assay
DTOXS	RNASeq	Cardiotoxicity Signatures	"Mount Sinai iPSC-derived myocytes line 1,iPSC differentiated,normal,heart;Mount Sinai iPSC-derived myocytes line 2,iPSC differentiated,normal,heart"	2\iPSCs differentiated	"Afatinib,FDA approved drug;Axitinib,FDA approved drug;Bosutinib,FDA approved drug;Cabozantinib,FDA approved drug;Ceritinib,FDA approved drug;Crizotinib,FDA approved drug;Dabrafenib,FDA approved drug;Dasatinib,FDA approved drug;Erlotinib,FDA approved drug;Gefitinib,FDA approved drug;Imatinib,FDA approved drug;Lapatinib,FDA approved drug;Nilotinib,FDA approved drug;Pazopanib,FDA approved drug;ponatinib,FDA approved drug;Regorafenib,FDA approved drug;Ruxolitinib,FDA approved drug;Sorafenib,FDA approved drug;Sunitinib,FDA approved drug;Tofacitinib,FDA approved drug;Trametinib,FDA approved drug;Vandetanib,FDA approved drug;Vemurafenib,FDA approved drug;Trastuzumab,FDA approved drug;Trastuzumab + Ursodeoxycholic acid,FDA approved drug;Trastuzumab + Loperamide,FDA approved drug;Trastuzumab + Domperidone,FDA approved drug;Sunitinib + Ursodeoxycholic acid,FDA approved drug;Sunitinib + Domperidone,FDA approved drug;Sunitinib + Loparemide,FDA approved drug;Sunitinib + Prednisolone,FDA approved drug;Sorafenib + Ursodeoxycholic acid,FDA approved drug;Sorafenib + Entecavir,FDA approved drug;Sorafenib + Diethylpropion,FDA approved drug;Sorafenib + Olmesartan,FDA approved drug;Sorefenib + Diclofenac,FDA approved drug;Dasatinib + Cytarabine,FDA approved drug;Erlotinib + Cefuroxime,FDA approved drug;Imatinib + Cyclosporine,FDA approved drug;Ursodeoxycholic acid,FDA approved drug;Loperamide,FDA approved drug;Domperidone,FDA approved drug;Prednisolone,FDA approved drug;Entecavir,FDA approved drug;Diethylpropion,FDA approved drug;Olmesartan,FDA approved drug;Diclofenac,FDA approved drug;Cytarabine,FDA approved drug;Cefuroxime,FDA approved drug;Cyclosporine,FDA approved drug"	"false\FDA approved drugs,30"	;1	48;hrs;1	3	one-all	DEGs\gene list		10/31/15	10/31/15	10/31/15	10/31/15		LP2	lincs.milestones.d:8e15e21f-b71f-4dce-b8af-82865c073a6d	RNA-Seq Gene expression profiling assay
DTOXS	Proteomics	Cardiotoxicity Signatures	"Mount Sinai iPSC-derived myocytes line 1,iPSC differentiated,normal,heart;Mount Sinai iPSC-derived myocytes line 2,iPSC differentiated,normal,heart"	2\iPSCs differentiated	"Afatinib,FDA approved drug;Axitinib,FDA approved drug;Bosutinib,FDA approved drug;Cabozantinib,FDA approved drug;Ceritinib,FDA approved drug;Crizotinib,FDA approved drug;Dabrafenib,FDA approved drug;Dasatinib,FDA approved drug;Erlotinib,FDA approved drug;Gefitinib,FDA approved drug;Imatinib,FDA approved drug;Lapatinib,FDA approved drug;Nilotinib,FDA approved drug;Pazopanib,FDA approved drug;ponatinib,FDA approved drug;Regorafenib,FDA approved drug;Ruxolitinib,FDA approved drug;Sorafenib,FDA approved drug;Sunitinib,FDA approved drug;Tofacitinib,FDA approved drug;Trametinib,FDA approved drug;Vandetanib,FDA approved drug;Vemurafenib,FDA approved drug;Trastuzumab,FDA approved drug;Trastuzumab + Ursodeoxycholic acid,FDA approved drug;Trastuzumab + Loperamide,FDA approved drug;Trastuzumab + Domperidone,FDA approved drug;Sunitinib + Ursodeoxycholic acid,FDA approved drug;Sunitinib + Domperidone,FDA approved drug;Sunitinib + Loparemide,FDA approved drug;Sunitinib + Prednisolone,FDA approved drug;Sorafenib + Ursodeoxycholic acid,FDA approved drug;Sorafenib + Entecavir,FDA approved drug;Sorafenib + Diethylpropion,FDA approved drug;Sorafenib + Olmesartan,FDA approved drug;Sorefenib + Diclofenac,FDA approved drug;Dasatinib + Cytarabine,FDA approved drug;Erlotinib + Cefuroxime,FDA approved drug;Imatinib + Cyclosporine,FDA approved drug;Ursodeoxycholic acid,FDA approved drug;Loperamide,FDA approved drug;Domperidone,FDA approved drug;Prednisolone,FDA approved drug;Entecavir,FDA approved drug;Diethylpropion,FDA approved drug;Olmesartan,FDA approved drug;Diclofenac,FDA approved drug;Cytarabine,FDA approved drug;Cefuroxime,FDA approved drug;Cyclosporine,FDA approved drug"	"false\FDA approved drugs,10"	;1	48;hrs;1	3	one-all	DEPs\protein list		10/31/15	10/31/15	10/31/15	10/31/15		LP2	lincs.milestones.d:6b823b8c-a81a-4dc6-bf5c-1b987da2e040	MS Protein Quantification Assay
DTOXS	Western blots/PCR (validation assays)	Cardiotoxicity Signatures	"Mount Sinai iPSC-derived myocytes line 1,iPSC differentiated,normal,heart;Mount Sinai iPSC-derived myocytes line 2,iPSC differentiated,normal,heart"	2\iPSCs differentiated	"Afatinib,FDA approved drug;Axitinib,FDA approved drug;Bosutinib,FDA approved drug;Cabozantinib,FDA approved drug;Ceritinib,FDA approved drug;Crizotinib,FDA approved drug;Dabrafenib,FDA approved drug;Dasatinib,FDA approved drug;Erlotinib,FDA approved drug;Gefitinib,FDA approved drug;Imatinib,FDA approved drug;Lapatinib,FDA approved drug;Nilotinib,FDA approved drug;Pazopanib,FDA approved drug;ponatinib,FDA approved drug;Regorafenib,FDA approved drug;Ruxolitinib,FDA approved drug;Sorafenib,FDA approved drug;Sunitinib,FDA approved drug;Tofacitinib,FDA approved drug;Trametinib,FDA approved drug;Vandetanib,FDA approved drug;Vemurafenib,FDA approved drug;Trastuzumab,FDA approved drug;Trastuzumab + Ursodeoxycholic acid,FDA approved drug;Trastuzumab + Loperamide,FDA approved drug;Trastuzumab + Domperidone,FDA approved drug;Sunitinib + Ursodeoxycholic acid,FDA approved drug;Sunitinib + Domperidone,FDA approved drug;Sunitinib + Loparemide,FDA approved drug;Sunitinib + Prednisolone,FDA approved drug;Sorafenib + Ursodeoxycholic acid,FDA approved drug;Sorafenib + Entecavir,FDA approved drug;Sorafenib + Diethylpropion,FDA approved drug;Sorafenib + Olmesartan,FDA approved drug;Sorefenib + Diclofenac,FDA approved drug;Dasatinib + Cytarabine,FDA approved drug;Erlotinib + Cefuroxime,FDA approved drug;Imatinib + Cyclosporine,FDA approved drug;Ursodeoxycholic acid,FDA approved drug;Loperamide,FDA approved drug;Domperidone,FDA approved drug;Prednisolone,FDA approved drug;Entecavir,FDA approved drug;Diethylpropion,FDA approved drug;Olmesartan,FDA approved drug;Diclofenac,FDA approved drug;Cytarabine,FDA approved drug;Cefuroxime,FDA approved drug;Cyclosporine,FDA approved drug"	"false\FDA approved drugs,15"	;1	48;hrs;1	3	one-all	image\image		10/31/15	10/31/15	10/31/15	10/31/15		LP2	lincs.milestones.d:490bff60-20d6-4a43-91f5-a5f0c8e0facc	Western Blot / PCR Assay
DTOXS	RNASeq	"Cardiomyocyte ""Efficacy/Toxicity Ratio"" Joint project- Collaborators: ISMMS, UCI, HMS, Broad/Golub, Broad/Jaffe, OHSU & DCIC*"	 Which four? Birtwistle unsure of structure	4\cell lines	"Afatinib,FDA approved drug;Axitinib,FDA approved drug;Bosutinib,FDA approved drug;Cabozantinib,FDA approved drug;Ceritinib,FDA approved drug;Crizotinib,FDA approved drug;Dabrafenib,FDA approved drug;Dasatinib,FDA approved drug;Erlotinib,FDA approved drug;Gefitinib,FDA approved drug;Imatinib,FDA approved drug;Lapatinib,FDA approved drug;Nilotinib,FDA approved drug;Pazopanib,FDA approved drug;ponatinib,FDA approved drug;Regorafenib,FDA approved drug;Ruxolitinib,FDA approved drug;Sorafenib,FDA approved drug;Sunitinib,FDA approved drug;Tofacitinib,FDA approved drug;Trametinib,FDA approved drug;Vandetanib,FDA approved drug;Vemurafenib,FDA approved drug;Trastuzumab,FDA approved drug;Trastuzumab + Ursodeoxycholic acid,FDA approved drug;Trastuzumab + Loperamide,FDA approved drug;Trastuzumab + Domperidone,FDA approved drug;Sunitinib + Ursodeoxycholic acid,FDA approved drug;Sunitinib + Domperidone,FDA approved drug;Sunitinib + Loparemide,FDA approved drug;Sunitinib + Prednisolone,FDA approved drug;Sorafenib + Ursodeoxycholic acid,FDA approved drug;Sorafenib + Entecavir,FDA approved drug;Sorafenib + Diethylpropion,FDA approved drug;Sorafenib + Olmesartan,FDA approved drug;Sorefenib + Diclofenac,FDA approved drug;Dasatinib + Cytarabine,FDA approved drug;Erlotinib + Cefuroxime,FDA approved drug;Imatinib + Cyclosporine,FDA approved drug;Ursodeoxycholic acid,FDA approved drug;Loperamide,FDA approved drug;Domperidone,FDA approved drug;Prednisolone,FDA approved drug;Entecavir,FDA approved drug;Diethylpropion,FDA approved drug;Olmesartan,FDA approved drug;Diclofenac,FDA approved drug;Cytarabine,FDA approved drug;Cefuroxime,FDA approved drug;Cyclosporine,FDA approved drug"	"false\FDA approved drugs,6"	;1	48;hrs;1	"3,3"	one-all	DEGs\gene list		10/31/15	10/31/15	10/31/15	10/31/15		LP2	lincs.milestones.d:714a5edb-5bff-4290-8b64-d824b7a67ea7	RNA-Seq Gene expression profiling assay
